created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url;actual_sentiment
Wed Jan 17 16:45:27 +0000 2024;1,74766E+18;4. Keputusan KPU Nomor 28 Tahun 2024 tentang Perubahan atas Keputusan Komisi Pemilihan Umum Nomor 1706 Tahun 2023 tentang Penetapan Stasiun Televisi dan Radio Penyiaran Debat Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024 Link : https://t.co/XUgJvOiD9r https://t.co/DujKHOJ3QW;0;1;0;0;in;9,83941E+17;1,74766E+18;JDIHKPU_RI;https://twitter.com/JDIHKPU_RI/status/1747661420043657415;Neutral
Wed Jan 17 13:35:03 +0000 2024;1,74761E+18;Debat Keempat Pemilihan Presiden (Pilpres) 2024 di JCC Senayan, Jakarta, Minggu (21/1/2024) untuk pertama kalinya akan dipandu dua moderator perempuan, yaitu Retno https://t.co/2oYXLWpmUB;0;0;0;0;in;9,03229E+17;1,74761E+18;eradotid;https://twitter.com/eradotid/status/1747613503605948599;Neutral
Wed Jan 17 13:30:11 +0000 2024;1,74761E+18;Komisi Pemilihan Umum (KPU) RI telah mengumumkan 11 nama panelis yang akan bertugas dalam debat kelima Pemilihan Presiden (Pilpres) 2024. Mereka yang berasal dari berbagai latar belakang, termasuk akademisi dan praktisi masyarakat sipil.  https://t.co/rxjiLXdZV5 https://t.co/Pd9OU8AUjV;0;0;0;0;in;70600007;1,74761E+18;monitordaycom;https://twitter.com/monitordaycom/status/1747612280949441004;Neutral
Wed Jan 17 12:22:40 +0000 2024;1,7476E+18;Komisi Pemilihan Umum (KPU) RI mengumumkan 11 nama panelis debat keempat Pemilihan Presiden (Pilpres) 2024 yang bakal diikuti tiga calon wakil presiden di Jakarta Convention Center (JCC), Jakarta, pada Minggu (21/1).https://t.co/jNZZnSKXb1;0;0;0;0;in;423220305;1,7476E+18;ANTARABengkulu;https://twitter.com/ANTARABengkulu/status/1747595289509425341;Neutral
Wed Jan 17 11:46:54 +0000 2024;1,74759E+18;Calon wakil presiden nomor urut 1, Muhaimin Iskandar, mendapatkan kesempatan berbicara pertama saat menyampaikan visi-misi dalam debat keempat pemilihan presiden yang menjadi debat kedua cawapres pada Minggu, 21 Januari 2024. #MostUpdate1058 #ElectionUpdate #Pilpres2024 https://t.co/1j9WZyCwzW;0;0;0;0;in;85805755;1,74759E+18;most1058;https://twitter.com/most1058/status/1747586289346707593;Neutral
Wed Jan 17 10:50:03 +0000 2024;1,74757E+18;Debat keempat Pemilihan Presiden (Pilpres) 2024 di JCC Senayan, Jakarta, Minggu (21/1), untuk pertama kalinya dipandu dua moderator perempuan, yaitu Retno Pinasti (SCTV) dan Zilvia Iskandar (Metro TV).  https://t.co/99NYwJ0yZN;0;0;0;0;in;18071520;1,74757E+18;antaranews;https://twitter.com/antaranews/status/1747571982148014295;Neutral
Wed Jan 17 08:27:03 +0000 2024;1,74754E+18;Komisi Pemilihan Umum (KPU) RI menetapkan 11 panelis untuk debat keempat Pemilihan Presiden (Pilpres)  2024 yang akan berlangsung di Jakarta Conventio... https://t.co/QcekGZHbMY;0;0;0;0;in;46693036;1,74754E+18;inilahdotcom;https://twitter.com/inilahdotcom/status/1747535993786495096;Neutral
Tue Jan 16 11:16:59 +0000 2024;1,74722E+18;Calon wakil presiden (cawapres) Gibran Rakabuming Raka memilih irit bicara mengenai debat keempat Pemilihan Presiden (Pilpres) 2024 yang akan berlangsung, Minggu (21/1/2024). #gibranrakabumingraka #DebatCapres #Pilpres2024  https://t.co/sMKqJ06u7v;0;0;0;0;in;1,69858E+18;1,74722E+18;heralddotID;https://twitter.com/heralddotID/status/1747216370184671464;Positive
Tue Jan 16 10:47:27 +0000 2024;1,74721E+18;Presiden Rasa Tim Sukses : Sukses Manuver Politik Non Morality  Jokowi melakukan manuver yang gegabah dalam Pemilihan Presiden dan Wakil Presiden tahun 2024. Tindakan jokowi yang paska debat melakukan klarifikasi yang tentang debat kemarin.;0;3;3;13;in;1,02686E+18;1,74721E+18;AngriyanAgil;https://twitter.com/AngriyanAgil/status/1747208938649796901;Negative
Mon Jan 15 13:20:00 +0000 2024;1,74688E+18;Komisi Pemilihan Umum (KPU) memastikan, format pada debat keempat Pemilihan Presiden (Pilpres) 2024 tidak berubah.  Selengkapnya di https://t.co/iZZXiBxCLa  #majalahpeluang  #gagasandansolusibisnis  #peluangmediagroup https://t.co/047NVbUdiz;0;0;0;0;in;1,30046E+18;1,74688E+18;peluangnewsid;https://twitter.com/peluangnewsid/status/1746884943358386646;Neutral
Mon Jan 15 06:45:12 +0000 2024;1,74679E+18;Komisi Pemilihan Umum  (KPU) memastikan tidak akan mengubah format debat keempat Pilpres 2024.  Meski mendapat banyak masukan, termasuk dari Presiden Joko Widodo, KPU  tetap mempertahankan format yang sudah dijalankan sebelumnya.   Sumber: https://t.co/PfgLdZjc9I;0;0;0;0;in;68930552;1,74679E+18;mediaindonesia;https://twitter.com/mediaindonesia/status/1746785586546172205;Positive
Mon Jan 15 01:54:09 +0000 2024;1,74671E+18;Calon wakil presiden (cawapres) nomor urut 3 Mahfud MD tak gentar apabila isu Wadas diangkat dalam debat keempat Pemilihan Presiden (Pilpres) 2024 pad... https://t.co/4h8UzsI8Kf;0;0;1;1;in;46693036;1,74671E+18;inilahdotcom;https://twitter.com/inilahdotcom/status/1746712344150020377;Positive
Sun Jan 14 14:04:35 +0000 2024;1,74653E+18;"Sandiaga Uno menyebut suara pasangan Ganjar Pranowo-Mahfud MD rebound"" usai debat pemilihan presiden (pilpres) ketiga pada Minggu (14/1/2024) lalu. https://t.co/xnXltXnmMU""";0;0;0;7;in;23343960;1,74653E+18;kompascom;https://twitter.com/kompascom/status/1746533772294783089;Positive
Sun Jan 14 11:22:12 +0000 2024;1,74649E+18;Komisi Pemilihan Umum (KPU) kembali akan menyelenggarakan debat ke-4 Pemilihan Presiden (Pilpres) 2024. https://t.co/VWQYcZxD0l;0;0;0;0;in;1,71251E+18;1,74649E+18;yunike45;https://twitter.com/yunike45/status/1746492908302479754;Neutral
Fri Jan 12 07:29:27 +0000 2024;1,74571E+18;Dahsyatnya Ganjar Effect Usai Debat Kedua  @ganjarpranowo, unggul dari capres nomor urut 2 Prabowo Subianto dalam debat ketiga Pemilihan Presiden (Pilpres) 2024 pada Minggu (7/1/2024).  Ganjar mampu menjelaskan gagasannya secara jelas dan spesifik serta tampil dengan percaya… https://t.co/dq2pBcsHLF;3;321;237;518;in;435004096;1,74571E+18;Aryprasetyo85;https://twitter.com/Aryprasetyo85/status/1745709561229738280;Positive
Thu Jan 11 12:37:49 +0000 2024;1,74542E+18;Satu bulan jelang masa tenang, kontestasi pemilihan presiden 2024 terasa kian memanas. Kondisi semakin tegang pasca terselenggaranya debat ketiga calon presiden. Netralitas Presiden Joko Widodo @jokowi pun dipertanyakan.  Apa betul Presiden bersikap tidak netral? Seberapa besar… https://t.co/SjE07kVhBp;0;0;0;0;in;9,02838E+17;1,74542E+18;medcom_id;https://twitter.com/medcom_id/status/1745424776473334080;Neutral
Thu Jan 11 12:34:37 +0000 2024;1,74542E+18;Pesan terbuka utk P.Anies Baswedan: Pak Anies Ysh, dlm pemilihan presiden RI di 2024 ada 3 pasangan calon. Sy mencermati bhw Bapak sll fokus pd 02 &amp  lembut pd 03. Dampaknya, pd debat kemarin 03 yg dpt nama &amp  Bapak dilapotkan ke Bawaslu. Ingat Pak, tdk ada pertemanan dlm politik.;0;0;0;0;in;1,18031E+18;1,74542E+18;EyangSepuh14;https://twitter.com/EyangSepuh14/status/1745423971498209681;Negative
Thu Jan 11 10:41:26 +0000 2024;1,7454E+18;Usulan Joko Widodo agar format debat Pemilihan Presiden 2024 diubah, usai menyaksikan debat ketiga pada Minggu lalu, dipertanyakan. Sikap presiden dinilai kurang etis bahkan terkesan memberikan dukungan terhadap salah satu pasangan calon yang ikut dalam kontestasi Pilpres 2024.… https://t.co/DBWOcQKmU1;0;6;13;21;in;2695463725;1,7454E+18;triwul82;https://twitter.com/triwul82/status/1745395486524338331;Negative
