created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 17 08:27:03 +0000 2024;1747535993786495096;"Komisi Pemilihan Umum (KPU) RI menetapkan 11 panelis untuk debat keempat Pemilihan Presiden (Pilpres)  2024 yang akan berlangsung di Jakarta Conventio... https://t.co/QcekGZHbMY";0;0;0;0;in;46693036;1747535993786495096;inilahdotcom;https://twitter.com/inilahdotcom/status/1747535993786495096
Tue Jan 16 11:16:59 +0000 2024;1747216370184671464;"Calon wakil presiden (cawapres) Gibran Rakabuming Raka memilih irit bicara mengenai debat keempat Pemilihan Presiden (Pilpres) 2024 yang akan berlangsung, Minggu (21/1/2024). #gibranrakabumingraka #DebatCapres #Pilpres2024  https://t.co/sMKqJ06u7v";0;0;0;0;in;1698580133068865536;1747216370184671464;heralddotID;https://twitter.com/heralddotID/status/1747216370184671464
Tue Jan 16 10:47:27 +0000 2024;1747208938649796901;"Presiden Rasa Tim Sukses : Sukses Manuver Politik Non Morality  Jokowi melakukan manuver yang gegabah dalam Pemilihan Presiden dan Wakil Presiden tahun 2024. Tindakan jokowi yang paska debat melakukan klarifikasi yang tentang debat kemarin.";0;3;3;12;in;1026863042804342784;1747208938649796901;AngriyanAgil;https://twitter.com/AngriyanAgil/status/1747208938649796901
Mon Jan 15 13:20:00 +0000 2024;1746884943358386646;"Komisi Pemilihan Umum (KPU) memastikan, format pada debat keempat Pemilihan Presiden (Pilpres) 2024 tidak berubah.  Selengkapnya di https://t.co/iZZXiBxCLa  #majalahpeluang  #gagasandansolusibisnis  #peluangmediagroup https://t.co/047NVbUdiz";0;0;0;0;in;1300462817158377472;1746884943358386646;peluangnewsid;https://twitter.com/peluangnewsid/status/1746884943358386646
Mon Jan 15 06:45:12 +0000 2024;1746785586546172205;"Komisi Pemilihan Umum  (KPU) memastikan tidak akan mengubah format debat keempat Pilpres 2024.  Meski mendapat banyak masukan, termasuk dari Presiden Joko Widodo, KPU  tetap mempertahankan format yang sudah dijalankan sebelumnya.   Sumber: https://t.co/PfgLdZjc9I";0;0;0;0;in;68930552;1746785586546172205;mediaindonesia;https://twitter.com/mediaindonesia/status/1746785586546172205
Mon Jan 15 01:54:09 +0000 2024;1746712344150020377;"Calon wakil presiden (cawapres) nomor urut 3 Mahfud MD tak gentar apabila isu Wadas diangkat dalam debat keempat Pemilihan Presiden (Pilpres) 2024 pad... https://t.co/4h8UzsI8Kf";0;0;1;1;in;46693036;1746712344150020377;inilahdotcom;https://twitter.com/inilahdotcom/status/1746712344150020377
Sun Jan 14 14:04:35 +0000 2024;1746533772294783089;"Sandiaga Uno menyebut suara pasangan Ganjar Pranowo-Mahfud MD "rebound" usai debat pemilihan presiden (pilpres) ketiga pada Minggu (14/1/2024) lalu. https://t.co/xnXltXnmMU";0;0;0;7;in;23343960;1746533772294783089;kompascom;https://twitter.com/kompascom/status/1746533772294783089
Sun Jan 14 11:22:12 +0000 2024;1746492908302479754;"Komisi Pemilihan Umum (KPU) kembali akan menyelenggarakan debat ke-4 Pemilihan Presiden (Pilpres) 2024. https://t.co/VWQYcZxD0l";0;0;0;0;in;1712506262406217728;1746492908302479754;yunike45;https://twitter.com/yunike45/status/1746492908302479754
Fri Jan 12 07:29:27 +0000 2024;1745709561229738280;"Dahsyatnya Ganjar Effect Usai Debat Kedua  @ganjarpranowo, unggul dari capres nomor urut 2 Prabowo Subianto dalam debat ketiga Pemilihan Presiden (Pilpres) 2024 pada Minggu (7/1/2024).  Ganjar mampu menjelaskan gagasannya secara jelas dan spesifik serta tampil dengan percaya… https://t.co/dq2pBcsHLF";3;321;252;539;in;435004096;1745709561229738280;Aryprasetyo85;https://twitter.com/Aryprasetyo85/status/1745709561229738280
Thu Jan 11 12:37:49 +0000 2024;1745424776473334080;"Satu bulan jelang masa tenang, kontestasi pemilihan presiden 2024 terasa kian memanas. Kondisi semakin tegang pasca terselenggaranya debat ketiga calon presiden. Netralitas Presiden Joko Widodo @jokowi pun dipertanyakan.  Apa betul Presiden bersikap tidak netral? Seberapa besar… https://t.co/SjE07kVhBp";0;0;0;0;in;902837643024539651;1745424776473334080;medcom_id;https://twitter.com/medcom_id/status/1745424776473334080
Thu Jan 11 12:34:37 +0000 2024;1745423971498209681;"Pesan terbuka utk P.Anies Baswedan: Pak Anies Ysh, dlm pemilihan presiden RI di 2024 ada 3 pasangan calon. Sy mencermati bhw Bapak sll fokus pd 02 &amp  lembut pd 03. Dampaknya, pd debat kemarin 03 yg dpt nama &amp  Bapak dilapotkan ke Bawaslu. Ingat Pak, tdk ada pertemanan dlm politik.";0;0;0;0;in;1180307934074400769;1745423971498209681;EyangSepuh14;https://twitter.com/EyangSepuh14/status/1745423971498209681
