created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jan 12 07:29:27 +0000 2024;1745709561229738280;"Dahsyatnya Ganjar Effect Usai Debat Kedua  @ganjarpranowo, unggul dari capres nomor urut 2 Prabowo Subianto dalam debat ketiga Pemilihan Presiden (Pilpres) 2024 pada Minggu (7/1/2024).  Ganjar mampu menjelaskan gagasannya secara jelas dan spesifik serta tampil dengan percaya… https://t.co/dq2pBcsHLF";3;321;278;542;in;435004096;1745709561229738280;Aryprasetyo85;https://twitter.com/Aryprasetyo85/status/1745709561229738280
Thu Jan 11 12:37:49 +0000 2024;1745424776473334080;"Satu bulan jelang masa tenang, kontestasi pemilihan presiden 2024 terasa kian memanas. Kondisi semakin tegang pasca terselenggaranya debat ketiga calon presiden. Netralitas Presiden Joko Widodo @jokowi pun dipertanyakan.  Apa betul Presiden bersikap tidak netral? Seberapa besar… https://t.co/SjE07kVhBp";0;0;0;0;in;902837643024539651;1745424776473334080;medcom_id;https://twitter.com/medcom_id/status/1745424776473334080
Thu Jan 11 12:34:37 +0000 2024;1745423971498209681;"Pesan terbuka utk P.Anies Baswedan: Pak Anies Ysh, dlm pemilihan presiden RI di 2024 ada 3 pasangan calon. Sy mencermati bhw Bapak sll fokus pd 02 &amp  lembut pd 03. Dampaknya, pd debat kemarin 03 yg dpt nama &amp  Bapak dilapotkan ke Bawaslu. Ingat Pak, tdk ada pertemanan dlm politik.";0;0;0;0;in;1180307934074400769;1745423971498209681;EyangSepuh14;https://twitter.com/EyangSepuh14/status/1745423971498209681
Thu Jan 11 10:41:26 +0000 2024;1745395486524338331;"Usulan Joko Widodo agar format debat Pemilihan Presiden 2024 diubah, usai menyaksikan debat ketiga pada Minggu lalu, dipertanyakan. Sikap presiden dinilai kurang etis bahkan terkesan memberikan dukungan terhadap salah satu pasangan calon yang ikut dalam kontestasi Pilpres 2024.… https://t.co/DBWOcQKmU1";0;6;14;23;in;2695463725;1745395486524338331;triwul82;https://twitter.com/triwul82/status/1745395486524338331
Thu Jan 11 03:46:50 +0000 2024;1745291150100160703;"Ketua Komisi Pemilihan Umum (KPU), Hasyim Asy’ari, tidak akan mengubah format debat keempat dan kelima Pilpres 2024 meski dikritik Presiden Jokowi. https://t.co/8WTDJ459R6";2;3;19;97;in;829366551446818816;1745291150100160703;asumsico;https://twitter.com/asumsico/status/1745291150100160703
Wed Jan 10 13:38:14 +0000 2024;1745077593219420379;"Keren kali ya klo topik sempronya nanti  "Analisis Yuridis terhadap Fenomena Menangisi Calon Presiden Pasca Debat Presiden dalam Gelaran Pemilihan Presiden 2024"  Awowkkwkwk nanti gw suruh ortu sama temen nangis klo gw diserang dosen penguji";0;2;0;0;in;1362774753786798082;1745077593219420379;puntenmaseh;https://twitter.com/puntenmaseh/status/1745077593219420379
Wed Jan 10 12:04:16 +0000 2024;1745053946237129100;"Setara Institute menilai ketiga capres, yakni Anies Baswedan, Prabowo Subianto dan Ganjar Pranowo mengabaikan isu krusial tentang reformasi TNI dan sektor keamanan dalam Debat Ketiga Pemilihan Presiden (Pilpres) pada 7 Januari 2024 malam lalu  https://t.co/gFdK3GlP2n";0;0;0;0;in;940610004331012096;1745053946237129100;rienewsdotcom;https://twitter.com/rienewsdotcom/status/1745053946237129100
Wed Jan 10 08:57:04 +0000 2024;1745006835076076023;"Presiden Jokowi meminta format debat Pilpres 2024 dibuat lebih baik lagi. Cawapres nomor urut 3, Mahfud MD menyerahkan pada Komisi Pemilihan Umum (KPU).  #IDNTimesJogja #GenZMemilih   https://t.co/sJYeqwdPv2 https://t.co/9zvzc3FFLM";0;0;1;1;in;1318894199270330369;1745006835076076023;IDNTimesJogja;https://twitter.com/IDNTimesJogja/status/1745006835076076023
Wed Jan 10 05:58:24 +0000 2024;1744961870015144051;"Debat Pemilihan Presiden dan Wakil Presiden Sudah Berlangsung 3 Kali, Apa Yang Bisa di Ambil Masyarakat Dari ke 3 Debat Tersebut  Simak Getar Pemilu 2024, pada Rabu, 10 Januari 2024, pukul 13.00 WIB  Bersama : Koordinator Divisi Humas, Data dan Informasi Bawaslu Jawa Tengah, Drs… https://t.co/IFPwEiJlYE";0;0;0;0;in;121640063;1744961870015144051;RadioElshinta;https://twitter.com/RadioElshinta/status/1744961870015144051
Wed Jan 10 05:43:18 +0000 2024;1744958072555274688;"dalam debat calon presiden peserta Pemilihan Umum Presiden dan Wakil Presiden 2024-2029 di Istora Senayan, Jakarta, Minggu (7/1/2024).  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;3655312633;1744958059234173407;manaf_ramli;https://twitter.com/manaf_ramli/status/1744958072555274688
